theta3: 0.000000, omega3: -3.296661

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.099014

theta1: -0.071145, omega1: 1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -1.099014

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -38.461685

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -73.626328

theta1: -0.071145, omega1: 1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -106.593323

theta1: -0.071145, omega1: 14.285660
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -139.560318

theta1: -0.070764, omega1: 12.088013
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -165.933990

theta1: -0.070764, omega1: 14.285660
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -190.110016

theta1: -0.070382, omega1: 12.088013
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -212.088013

theta1: -0.070382, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -240.659332

theta1: -0.070382, omega1: -3.296661
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -260.439697

theta1: -0.070382, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -271.428680

theta1: -0.070382, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -295.604340

theta1: -0.070382, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -297.802368

theta1: -0.070382, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -310.989014

theta1: -0.070382, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -317.582336

theta1: -0.070382, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -326.373688

theta1: -0.070382, omega1: -5.494690
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -319.780365

theta1: -0.070764, omega1: -9.889984
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -319.780365

theta1: -0.070764, omega1: -14.285660
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -319.780365

theta1: -0.071145, omega1: -12.088013
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -317.582336

theta1: -0.071145, omega1: -9.889984
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -315.384674

theta1: -0.071145, omega1: -5.494690
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -306.593323

theta1: -0.071145, omega1: -7.692337
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -300.000000

theta1: -0.071145, omega1: -3.296661
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -291.208649

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -280.219666

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -271.428680

theta1: -0.071145, omega1: 1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -260.439697

theta1: -0.071145, omega1: -1.099014
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -245.055008

theta1: -0.071145, omega1: -1.099014
