theta1: -0.052835, omega1: -1.153847
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 1.901100

theta1: -0.054360, omega1: -1.087914
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 1.813187

theta1: -0.055886, omega1: -0.978024
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 1.703297

theta1: -0.057031, omega1: -0.868134
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 1.615383

theta1: -0.058175, omega1: -0.890110
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 1.527473

theta1: -0.058938, omega1: -0.758244
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 1.461540

theta1: -0.060082, omega1: -0.758244
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 1.329670

theta1: -0.061227, omega1: -0.780220
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 1.241756

theta1: -0.061990, omega1: -0.648350
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 1.241756

theta1: -0.062753, omega1: -0.648350
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 1.087914

theta1: -0.063516, omega1: -0.538460
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 1.065933

theta1: -0.064279, omega1: -0.626373
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 1.021976

theta1: -0.065042, omega1: -0.494507
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.934067

theta1: -0.065804, omega1: -0.560440
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.890110

theta1: -0.066567, omega1: -0.428570
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.846153

theta1: -0.066949, omega1: -0.384617
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.736263

theta1: -0.067712, omega1: -0.472527
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.714287

theta1: -0.068093, omega1: -0.406593
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.692307

theta1: -0.068475, omega1: -0.274727
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.648350

theta1: -0.068856, omega1: -0.384617
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.604397

theta1: -0.069238, omega1: -0.362637
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.604397

theta1: -0.069619, omega1: -0.230770
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.604397

theta1: -0.070001, omega1: -0.120880
theta2: 0.000000, omega2: 0.000000
